"","Team","AST","BLK","DREB","FTA","FTM","FTp","GP","L","MIN","OREB","P2A","P2M","P3A","P3M","PF","PM","PTS","STL","TOV","W","P2p","P3p"
"1","Atlanta Hawks",1754,363,2352,1519,1219,57.561,72,41,17405,719,3958,2113,2460,858,1422,-167,8019,557,854,31,0.533855482566953,0.348780487804878
"2","Boston Celtics",1732,334,2382,1692,1329,56.609,72,36,17380,677,3718,1950,2473,925,1389,-105,8004,531,972,36,0.524475524475524,0.374039627982208
"3","Brooklyn Nets",1729,330,2348,1584,1228,55.827,72,48,17405,753,3966,2066,2607,951,1361,-324,8213,550,870,24,0.520927887039839,0.364787111622555
"4","Charlotte Hornets",1951,347,2487,1387,1034,53.798,72,33,17355,766,3499,1930,2847,1042,1340,139,8020,582,1017,39,0.551586167476422,0.365999297506147
"5","Chicago Bulls",1737,364,2410,1600,1238,55.825,72,31,17380,624,3985,2154,2328,829,1277,64,8033,614,873,41,0.540526976160602,0.356099656357388
"6","Cleveland Cavaliers",1828,425,2437,1468,1143,55.891,72,22,17430,712,3911,2131,2334,893,1451,608,8084,613,969,50,0.544873433904372,0.382604970008569
"7","Dallas Mavericks",1631,264,2460,1621,1238,55.087,72,42,17305,704,3732,1960,2537,925,1446,-163,7933,527,861,30,0.52518756698821,0.364603862830114
"8","Denver Nuggets",1864,325,2314,1589,1229,56.043,72,47,17480,652,3579,1949,2570,934,1379,-355,7929,540,971,25,0.544565521095278,0.363424124513619
"9","Detroit Pistons",1785,419,2475,1607,1221,54.427,72,20,17430,717,4000,2163,2260,817,1469,322,7998,578,959,52,0.54075,0.361504424778761
"10","Golden State Warriors",1711,312,2635,1834,1426,56.523,72,39,17305,769,3927,2006,2481,891,1406,-76,8111,567,1042,33,0.510822510822511,0.35912938331318
"11","Houston Rockets",1855,378,2713,1642,1286,56.629,72,17,17305,713,3879,2109,2532,966,1388,569,8402,611,994,55,0.54369682907966,0.381516587677725
"12","Indiana Pacers",1877,380,2555,1695,1325,56.242,72,34,17455,813,4311,2248,2265,828,1306,3,8305,535,1026,38,0.521456738575736,0.365562913907285
"13","LA Clippers",1650,304,2307,1489,1157,55.787,72,47,17280,659,3882,2054,2341,833,1303,-445,7764,510,891,25,0.529108706852138,0.355830841520718
"14","Los Angeles Lakers",1776,327,2392,1475,1144,56.241,72,42,17455,634,3900,2044,2321,818,1530,-201,7686,593,1047,30,0.524102564102564,0.352434295562258
"15","Memphis Grizzlies",1827,377,2515,1588,1251,56.418,72,38,17405,704,3861,2027,2526,926,1318,-74,8083,552,1020,34,0.524993524993525,0.36658749010293
"16","Miami Heat",1857,287,2404,1435,1122,56.597,72,40,17380,684,3323,1788,2814,1027,1414,-2,7779,541,1031,32,0.538068010833584,0.364960909737029
"17","Milwaukee Bucks",1804,348,2435,1350,1053,56.705,72,46,17330,693,3910,1984,2778,1068,1320,-424,8225,507,911,26,0.507416879795396,0.384449244060475
"18","Minnesota Timberwolves",1932,398,2579,1695,1332,56.246,72,23,17405,718,4014,2153,2412,945,1432,400,8473,550,1061,49,0.536372695565521,0.391791044776119
"19","New Orleans Pelicans",1866,426,2366,1516,1197,56.666,72,31,17430,644,3686,1973,2745,1043,1534,21,8272,555,920,41,0.535268583830711,0.379963570127505
"20","New York Knicks",1696,391,2478,1598,1216,54.187,72,41,17430,695,3644,1866,2565,864,1286,-166,7540,472,876,31,0.512074643249177,0.336842105263158
"21","Oklahoma City Thunder",1856,378,2663,1426,1102,56.055,72,22,17355,729,3915,2145,2688,978,1336,766,8326,647,898,50,0.547892720306513,0.363839285714286
"22","Orlando Magic",1874,384,2706,1390,1093,56.897,72,21,17330,704,3807,2052,2649,987,1343,670,8158,548,876,51,0.539007092198582,0.372593431483579
"23","Philadelphia 76ers",1694,335,2388,1640,1253,55.266,72,49,17430,702,3881,1978,2378,857,1509,-402,7780,521,1075,23,0.509662458129348,0.360386879730866
"24","Phoenix Suns",1652,258,2401,1560,1213,56.045,72,51,17480,674,3889,2080,2359,836,1294,-419,7881,498,936,21,0.534841861661095,0.354387452310301
"25","Portland Trail Blazers",1794,333,2558,1638,1289,56.991,72,42,17305,710,3861,2079,2494,928,1374,-129,8231,440,863,30,0.538461538461538,0.372093023255814
"26","Sacramento Kings",1823,336,2489,1631,1283,56.986,72,31,17305,767,4089,2246,2349,893,1348,265,8454,545,947,41,0.549278552213255,0.380161770966369
"27","San Antonio Spurs",1784,369,2681,1489,1128,55.019,72,33,17480,732,4119,2170,2350,885,1338,125,8123,454,897,39,0.526826899732945,0.376595744680851
"28","Toronto Raptors",1872,402,2582,1785,1426,57.661,72,27,17305,720,3458,1808,2641,1001,1405,34,8045,477,1103,45,0.522845575477154,0.379023097311624
"29","Utah Jazz",1604,282,2362,1364,1047,55.054,72,52,17355,706,4288,2160,2293,783,1365,-666,7716,554,791,20,0.503731343283582,0.341474051460968
"30","Washington Wizards",1762,348,2580,1828,1428,56.397,72,34,17405,738,4169,2207,2425,896,1586,132,8530,587,1017,38,0.52938354521468,0.369484536082474
